ticker,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,pnl,exit_reason,win,variant,rs,sil,year,sma50_slope
A,2023-02-13,2023-02-14,154.34,2023-02-16,148.81,1,-0.03583,Stop Loss,False,baseline,0.6893061460063521,4,2023,0.36712500686831023
AAPL,2023-04-13,2023-04-14,164.59,2023-05-01,169.28,10,0.028495,Time Exit,True,baseline,16.83210640338675,1,2023,2.992672023157312
AAPL,2023-04-27,2023-04-28,168.49,2023-05-05,170.98,4,0.014778,Stop Loss,True,baseline,15.409502756202675,2,2023,1.8020233131069794
ABT,2023-02-02,2023-02-03,111.81,2023-02-10,108.26,4,-0.03175,Stop Loss,False,baseline,3.1206934892789917,3,2023,1.7440279956583753
ABT,2023-02-07,2023-02-08,111.4,2023-02-10,108.26,1,-0.028187,Stop Loss,False,baseline,2.2511182354581605,4,2023,1.3429686606642695
ACGL,2023-02-08,2023-02-09,64.5,2023-02-27,69.36,10,0.075349,Profit Target,True,baseline,9.988706000504898,2,2023,2.0283122922010848
ACGL,2023-10-24,2023-10-25,83.37,2023-10-30,82.02,2,-0.016193,Stop Loss,False,baseline,15.393519732947937,4,2023,1.7685635437898517
ACGL,2023-11-09,2023-11-10,85.1,2023-11-16,83.08,3,-0.023737,Stop Loss,False,baseline,14.533822843567057,6,2023,2.5144963336569717
ACGL,2023-11-21,2023-11-22,86.06,2023-11-30,82.54,4,-0.040902,Stop Loss,False,baseline,12.787928529302262,7,2023,1.8575048479219172
ACN,2023-04-28,2023-05-01,279.09,2023-05-05,269.22,3,-0.035365,Stop Loss,False,baseline,-4.491734821194759,2,2023,-0.7587837353624088
ACN,2023-07-03,2023-07-05,306.14,2023-07-20,316.25,10,0.033024,Time Exit,True,baseline,1.9347509293937915,3,2023,1.7398774844051508
ACN,2023-07-11,2023-07-12,312.34,2023-07-27,320.0,10,0.024525,Time Exit,True,baseline,3.6379374515487894,4,2023,2.1110266752901103
ACN,2023-08-23,2023-08-24,316.4,2023-09-11,327.49,10,0.035051,Time Exit,True,baseline,-3.197767171428345,5,2023,0.022751629813221704
ADBE,2023-04-13,2023-04-14,376.37,2023-04-27,365.94,8,-0.027712,Stop Loss,False,baseline,5.369696210347397,3,2023,1.0977415727935727
ADBE,2023-08-23,2023-08-24,539.0,2023-08-28,525.7,1,-0.024675,Stop Loss,False,baseline,21.766386066814626,4,2023,3.3306087540300906
ADBE,2023-12-07,2023-12-08,605.0,2023-12-15,580.6,4,-0.040331,Stop Loss,False,baseline,8.50678814668755,6,2023,3.1937231546963103
ADI,2023-03-29,2023-03-30,191.25,2023-04-10,185.63,5,-0.029386,Stop Loss,False,baseline,11.057141001301618,3,2023,2.3150862345959666
ADI,2023-04-10,2023-04-11,192.22,2023-04-13,187.3,1,-0.025596,Stop Loss,False,baseline,10.02250693787692,4,2023,2.579125758235116
ADI,2023-07-10,2023-07-11,191.66,2023-07-26,191.93,10,0.001409,Time Exit,True,baseline,-5.302997747165383,5,2023,0.3524652314972239
