date,ticker,pnl,equity
2021-01-04,PDD,-0.02,0.98
2021-01-05,BF-B,-0.02,0.9603999999999999
2021-01-05,ABBV,-0.02,0.9411919999999999
2021-01-05,AMP,-0.02,0.9223681599999999
2021-01-05,FTV,-0.02,0.9039207967999998
2021-01-05,HON,-0.02,0.8858423808639998
2021-01-05,INVH,-0.02,0.8681255332467198
2021-01-05,IR,-0.02,0.8507630225817854
2021-01-05,J,-0.02,0.8337477621301497
2021-01-05,KKR,-0.02,0.8170728068875467
2021-01-05,NSC,-0.02,0.8007313507497957
2021-01-05,ROK,-0.02,0.7847167237347998
2021-01-05,ROP,-0.02,0.7690223892601038
2021-01-05,TER,-0.02,0.7536419414749017
2021-01-05,TXN,-0.02,0.7385691026454037
2021-01-06,ELV,-0.02,0.7237977205924956
2021-01-06,MCO,-0.02,0.7093217661806457
2021-01-06,CAT,0.07,0.758974289813291
2021-01-06,IP,0.07,0.8121024901002214
2021-01-06,NXPI,0.07,0.868949664407237
2021-01-06,TDY,0.07,0.9297761409157436
2021-01-06,MOS,0.07,0.9948604707798456
2021-01-06,RVTY,0.07,1.064500703734435
2021-01-08,MU,0.07,1.1390157529958456
2021-01-08,MTD,0.07,1.2187468557055547
2021-01-08,KLAC,0.07,1.3040591356049436
2021-01-08,STT,-0.02,1.2779779528928448
2021-01-11,EME,-0.02,1.2524183938349878
2021-01-11,LULU,-0.02,1.227370025958288
2021-01-11,ECL,-0.02,1.2028226254391223
2021-01-11,EMR,-0.02,1.1787661729303398
2021-01-11,HON,-0.02,1.155190849471733
2021-01-11,HUBB,-0.02,1.1320870324822983
2021-01-11,LYV,-0.02,1.1094452918326523
2021-01-11,TJX,-0.02,1.0872563859959992
2021-01-12,LH,0.07,1.163364333015719
2021-01-12,FISV,-0.02,1.1400970463554048
2021-01-12,EA,-0.02,1.1172951054282967
2021-01-13,IEX,-0.02,1.0949492033197308
2021-01-13,AXON,0.07,1.171595647552112
2021-01-13,SBUX,-0.02,1.1481637346010698
2021-01-14,DDOG,-0.02,1.1252004599090484
2021-01-15,APH,-0.02,1.1026964507108674
2021-01-15,CB,-0.02,1.08064252169665
2021-01-15,EXPD,-0.02,1.059029671262717
2021-01-15,TSCO,0.07,1.1331617482511072
2021-01-15,TDG,-0.02,1.110498513286085
2021-01-15,MAS,-0.02,1.0882885430203633
2021-01-19,ADM,0.053571,1.1465892485585072
2021-01-19,ORLY,-0.02,1.123657463587337
2021-01-19,LLY,0.07,1.2023134860384508
2021-01-19,XYZ,-0.02,1.1782672163176817
2021-01-20,RMD,0.028404,1.2117347183299694
2021-01-21,MCK,0.050517,1.2729479210958443
2021-01-21,NWS,0.02967,1.310716285914758
2021-01-21,NWSA,0.042888,1.3669302859850703
2021-01-21,CTVA,-0.02,1.339591680265369
2021-01-21,TRV,0.07,1.433363097883945
2021-01-21,CMG,0.07,1.533698514735821
2021-01-22,AIZ,-0.02,1.5030245444411046
2021-01-22,LYV,-0.02,1.4729640535522825
2021-01-22,SHOP,-0.02,1.4435047724812369
2021-01-25,AMP,0.054097,1.5215940501581544
